text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
bitchy ass,bitch,sexual anatomy / sexual acts,1.8,Strong,bitchyass
4skin,foreskin,sexual anatomy / sexual acts,1.0,Mild,4skin
bewbs,boobs,sexual anatomy / sexual acts,1.0,Mild,bewbs
nigga lover,nigger,racial / ethnic slurs,3.0,Severe,niggalover
assfkr,ass,sexual anatomy / sexual acts,2.2,Strong,assfkr
slanteye b1tch,bitch,racial / ethnic slurs,2.6,Severe,slanteyeb1tch
ashole,ass,sexual anatomy / sexual acts,1.6,Strong,ashole
cyberfvcks,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfvcks
fucking me,fuck,sexual anatomy / sexual acts,2.2,Strong,fucking
fag bag,faggot,sexual orientation / gender,2.8,Severe,fagbag
knob gobbler,knob,sexual anatomy / sexual acts,1.8,Strong,knobgobbler
ar5e,arse,sexual anatomy / sexual acts,1.0,Mild,ar5e
shite,shit,bodily fluids / excrement,1.0,Mild,shite
biotches,bitch,sexual orientation / gender,1.2,Mild,biotches
shittydicks,shit,sexual anatomy / sexual acts,2.0,Strong,shittydicks
dog fuck,fuck,sexual anatomy / sexual acts,2.8,Severe,dogfuck
useless fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,uselessfucker
double pen,double pen,sexual anatomy / sexual acts,1.2,Mild,doublepen
motherfuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckers
nigg@z,nigger,racial / ethnic slurs,2.6,Severe,nigg@z
phucker,fuck,sexual anatomy / sexual acts,2.2,Strong,phucker
phukings,fuck,sexual anatomy / sexual acts,2.2,Strong,phukings
motherfecker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfecker
sh1tfuck,fuck,other / general insult,2.6,Severe,sh1tfuck
pecker,pecker,sexual anatomy / sexual acts,1.4,Mild,pecker
godd@mnit,damn,religious offense,1.4,Mild,godd@mnit
cawksucker,cock,sexual anatomy / sexual acts,2.6,Severe,cawksucker
cunty,cunt,sexual anatomy / sexual acts,2.8,Severe,cunty
diks,dick,sexual anatomy / sexual acts,1.2,Mild,diks
bugger off,bugger,sexual anatomy / sexual acts,1.0,Mild,bugger
b1+ch,bitch,sexual orientation / gender,1.0,Mild,b1+ch
mf'er,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mf'er
biatch,bitch,sexual orientation / gender,1.2,Mild,biatch
analplug,anal,sexual anatomy / sexual acts,2.2,Strong,analplug
c0cksuckers,cock,sexual anatomy / sexual acts,2.2,Strong,c0cksuckers
nig,nigger,racial / ethnic slurs,3.0,Severe,nig
slantfreak,slant eye,racial / ethnic slurs,2.6,Severe,slantfreak
phuck3r,fuck,sexual anatomy / sexual acts,1.8,Strong,phuck3r
bullshi,shit,bodily fluids / excrement,1.0,Mild,bullshi
loose woman,loose,sexual orientation / gender,1.4,Mild,loosewoman
bumhole,bum,sexual anatomy / sexual acts,1.0,Mild,bumhole
dumb@ss,ass,sexual anatomy / sexual acts,1.2,Mild,dumb@ss
jerk off,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerk
animal fucker,fuck,sexual anatomy / sexual acts,3.0,Severe,animalfucker
raghead,raghead,racial / ethnic slurs,3.0,Severe,raghead
dog fucker,fuck,sexual anatomy / sexual acts,3.0,Severe,dogfucker
booty,booty,sexual anatomy / sexual acts,1.0,Mild,booty
bizzach,bitch,sexual orientation / gender,1.6,Strong,bizzach
fick,fuck,sexual anatomy / sexual acts,1.6,Strong,fick
cokmuncher,cock,sexual anatomy / sexual acts,2.2,Strong,cokmuncher
nobs,knob,sexual anatomy / sexual acts,1.2,Mild,nobs
k1ke,kike,racial / ethnic slurs,2.8,Severe,k1ke
azzhole,ass,sexual anatomy / sexual acts,1.6,Strong,azzhole
p3nisfvckers,penis,sexual anatomy / sexual acts,2.8,Severe,p3nisfvckers
bonk juice,bonk,bodily fluids / excrement,1.6,Strong,bonkjuice
punkasses,ass,other / general insult,1.2,Mild,punkasses
chink,chink,racial / ethnic slurs,3.0,Severe,chink
weiner,weiner,sexual anatomy / sexual acts,1.0,Mild,weiner
pricks,prick,sexual anatomy / sexual acts,1.0,Mild,pricks
dipstick,dipstick,sexual anatomy / sexual acts,1.2,Mild,dipstick
nigg@s,nigger,racial / ethnic slurs,2.8,Severe,nigg@s
motherfecka,motherfucker,sexual anatomy / sexual acts,2.4,Strong,motherfecka
motherfvckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfvckers
trouser snake,trouser snake,sexual anatomy / sexual acts,1.0,Mild,trousersnake
mothafuckz,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckz
bitchin,bitch,other / general insult,1.2,Mild,bitchin
wh0r3,whore,sexual orientation / gender,2.0,Strong,wh0r3
chesticles,testicles,sexual anatomy / sexual acts,1.0,Mild,chesticles
s.o.b.s,bitch,other / general insult,1.6,Strong,s.o.b.s
dick head,dick,sexual anatomy / sexual acts,1.8,Strong,dickhead
knobeds,knob,sexual anatomy / sexual acts,1.8,Strong,knobeds
fcka,fuck,sexual anatomy / sexual acts,1.8,Strong,fcka
fuker,fuck,sexual anatomy / sexual acts,2.2,Strong,fuker
faggot son-of-a-bitch,faggot,sexual orientation / gender,3.0,Severe,faggotson-of-a-bitch
w@nker,wank,sexual anatomy / sexual acts,1.2,Mild,w@nker
phucchead,fuck,sexual anatomy / sexual acts,2.0,Strong,phucchead
jigga,jiggaboo,racial / ethnic slurs,2.4,Strong,jigga
fuckasses,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckasses
fuk1n,fuck,sexual anatomy / sexual acts,2.0,Strong,fuk1n
cock suck,cock,sexual anatomy / sexual acts,1.8,Strong,cocksuck
fuck arse,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckarse
shitey,shit,bodily fluids / excrement,1.2,Mild,shitey
shitdikk,shit,bodily fluids / excrement,2.0,Strong,shitdikk
motherfxck,motherfucker,other / general insult,2.4,Strong,motherfxck
shitfucks,fuck,sexual anatomy / sexual acts,2.4,Strong,shitfucks
cock sucking nob jokeys,cock,sexual anatomy / sexual acts,2.8,Severe,cocksuckingnobjokeys
mothafuckazzes,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckazzes
cawks,cock,sexual anatomy / sexual acts,1.2,Mild,cawks
l3i + ch,bitch,sexual orientation / gender,1.2,Mild,l3i+ch
packingfudgefucker,fudge packer,sexual anatomy / sexual acts,2.8,Severe,packingfudgefucker
m@asterbated,masturbate,sexual anatomy / sexual acts,1.4,Mild,m@asterbated
cunts,cunt,sexual anatomy / sexual acts,2.6,Severe,cunts
packingfudge,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudge
cawk muncher,cock,sexual anatomy / sexual acts,2.4,Strong,cawkmuncher
f@ck,fuck,sexual anatomy / sexual acts,1.6,Strong,f@ck
fugged,fuck,sexual anatomy / sexual acts,1.8,Strong,fugged
fckedup,fuck,sexual anatomy / sexual acts,2.0,Strong,fckedup
tw@t,twat,sexual anatomy / sexual acts,1.8,Strong,tw@t
bastard,bastard,other / general insult,1.2,Mild,bastard
n1gger,nigger,racial / ethnic slurs,3.0,Severe,n1gger
beat off,beat off,sexual anatomy / sexual acts,1.2,Mild,beat
phukked,fuck,sexual anatomy / sexual acts,2.0,Strong,phukked
trashbitches,bitch,sexual orientation / gender,1.4,Mild,trashbitches
dogsh1ts,shit,bodily fluids / excrement,1.0,Mild,dogsh1ts
phaggots,faggot,sexual orientation / gender,3.0,Severe,phaggots
clusterfuck,fuck,sexual anatomy / sexual acts,1.8,Strong,clusterfuck
bitchlike,bitch,sexual orientation / gender,1.2,Mild,bitchlike
j3rk,jerk,other / general insult,1.0,Mild,j3rk
mf'ers,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mf'ers
fuckshitface,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckshitface
phukhead,fuck,sexual anatomy / sexual acts,2.4,Strong,phukhead
sk@nky,skank,sexual orientation / gender,1.0,Mild,sk@nky
fukkings,fuck,sexual anatomy / sexual acts,2.0,Strong,fukkings
ladyboyz,ladyboy,sexual orientation / gender,1.4,Mild,ladyboyz
shitd1ck,shit,sexual anatomy / sexual acts,2.0,Strong,shitd1ck
dild0,dildo,sexual anatomy / sexual acts,1.0,Mild,dild0
crazy mofos,motherfucker,sexual anatomy / sexual acts,1.4,Mild,crazymofos
fcker,fuck,sexual anatomy / sexual acts,2.2,Strong,fcker
god dammit,damn,religious offense,1.6,Strong,goddammit
go to hell,hell,other / general insult,1.0,Mild,gohell
dipshite,shit,bodily fluids / excrement,1.6,Strong,dipshite
schlong,schlong,sexual anatomy / sexual acts,1.0,Mild,schlong
shit licker,shit,bodily fluids / excrement,2.0,Strong,shitlicker
jizz,jizz,bodily fluids / excrement,1.6,Strong,jizz
bassturd,bastard,other / general insult,1.2,Mild,bassturd
dipshit,shit,bodily fluids / excrement,1.4,Mild,dipshit
wh0re,whore,sexual orientation / gender,2.0,Strong,wh0re
turdhead,turd,bodily fluids / excrement,1.6,Strong,turdhead
shittyfuck,fuck,sexual anatomy / sexual acts,1.8,Strong,shittyfuck
mthrfcker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mthrfcker
mf'ing,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mf'ing
cums,cum,bodily fluids / excrement,1.4,Mild,cums
fked,fuck,sexual anatomy / sexual acts,2.0,Strong,fked
cock jockey,cock,sexual anatomy / sexual acts,2.4,Strong,cockjockey
sh1ts,shit,bodily fluids / excrement,1.0,Mild,sh1ts
jackoffz,jack off,sexual anatomy / sexual acts,1.6,Strong,jackoffz
ape shit,ape,bodily fluids / excrement,1.6,Strong,apeshit
penishead,penis,sexual anatomy / sexual acts,1.4,Mild,penishead
cyberfucks,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfucks
prick-gobbler,prick,sexual anatomy / sexual acts,2.2,Strong,prick-gobbler
wank3rs,wank,sexual anatomy / sexual acts,1.0,Mild,wank3rs
analplugs,anal,sexual anatomy / sexual acts,2.0,Strong,analplugs
caca,shit,bodily fluids / excrement,1.0,Mild,caca
queers,queer,sexual orientation / gender,1.8,Strong,queers
pusslicker,pussy,sexual anatomy / sexual acts,2.2,Strong,pusslicker
fuckshithead,fuck,sexual anatomy / sexual acts,2.8,Severe,fuckshithead
arsehole,arse,sexual anatomy / sexual acts,1.4,Mild,arsehole
shitassfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitassfucker
cunt fart,cunt,sexual anatomy / sexual acts,2.6,Severe,cuntfart
fxcker,fuck,sexual anatomy / sexual acts,2.2,Strong,fxcker
sixty-nine,69,sexual anatomy / sexual acts,1.2,Mild,sixty-nine
fvck you,fuck,sexual anatomy / sexual acts,2.2,Strong,fvck
tart,tart,mental disability,1.2,Mild,tart
sonna bitch,bitch,sexual orientation / gender,1.2,Mild,sonnabitch
peter,peter puffer,sexual anatomy / sexual acts,1.0,Mild,peter
assholes,ass,sexual anatomy / sexual acts,1.6,Strong,assholes
l3i+ch,bitch,sexual orientation / gender,1.2,Mild,l3i+ch
fkker,fuck,sexual anatomy / sexual acts,2.2,Strong,fkker
chinavirus,china virus,political,2.6,Severe,chinavirus
twat,twat,sexual anatomy / sexual acts,1.8,Strong,twat
fingerpop,finger,sexual anatomy / sexual acts,1.4,Mild,fingerpop
anal,anal,sexual anatomy / sexual acts,1.0,Mild,anal
breasticles,breast,sexual anatomy / sexual acts,1.4,Mild,breasticles
bean queen,bean queen,racial / ethnic slurs,2.2,Strong,beanqueen
m0thafucked,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0thafucked
k..!ke,kike,racial / ethnic slurs,3.0,Severe,k..!ke
fvcka,fuck,sexual anatomy / sexual acts,2.0,Strong,fvcka
higg@,nigger,racial / ethnic slurs,2.6,Severe,higg@
fuckheaded,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckheaded
phuck,fuck,sexual anatomy / sexual acts,2.2,Strong,phuck
wankies,wank,sexual anatomy / sexual acts,1.6,Strong,wankies
fingerbanged,finger,sexual anatomy / sexual acts,1.6,Strong,fingerbanged
dyke,dyke,sexual orientation / gender,2.8,Severe,dyke
wetbacks,wetback,racial / ethnic slurs,2.6,Severe,wetbacks
assfk,ass,sexual anatomy / sexual acts,2.2,Strong,assfk
assfck,ass,sexual anatomy / sexual acts,2.6,Severe,assfck
pu$sy,pussy,sexual anatomy / sexual acts,1.6,Strong,pu$sy
b1otchs,bitch,sexual orientation / gender,1.2,Mild,b1otchs
d1cksukka,dick,sexual anatomy / sexual acts,2.0,Strong,d1cksukka
phukk,fuck,sexual anatomy / sexual acts,1.8,Strong,phukk
shitdip,shit,bodily fluids / excrement,1.8,Strong,shitdip
puzzy,pussy,sexual anatomy / sexual acts,1.2,Mild,puzzy
jiggerboos,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggerboos
butt-munchers,butt,sexual anatomy / sexual acts,2.0,Strong,butt-munchers
cuntz,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntz
assfvcker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfvcker
shitblimps,shit,bodily fluids / excrement,1.6,Strong,shitblimps
palm jockey,palm jockey,sexual anatomy / sexual acts,1.2,Mild,palmjockey
fukka,fuck,sexual anatomy / sexual acts,2.2,Strong,fukka
fuck you,fuck,sexual anatomy / sexual acts,2.4,Strong,fuck
arsefucker,fuck,sexual anatomy / sexual acts,2.6,Severe,arsefucker
BJ,blowjob,sexual anatomy / sexual acts,1.6,Strong,BJ
shited,shit,bodily fluids / excrement,1.2,Mild,shited
jizzes,jizz,bodily fluids / excrement,2.2,Strong,jizzes
whores,whore,sexual orientation / gender,2.0,Strong,whores
octopussy,pussy,sexual anatomy / sexual acts,1.2,Mild,octopussy
fuggerz,fuck,sexual anatomy / sexual acts,2.6,Severe,fuggerz
cockhed,cock,sexual anatomy / sexual acts,2.0,Strong,cockhed
axe wound,wound,sexual anatomy / sexual acts,1.2,Mild,axewound
nonce,nonce,other / general insult,1.4,Mild,nonce
dicksucker,dick,sexual anatomy / sexual acts,2.2,Strong,dicksucker
crotch,crotch,sexual anatomy / sexual acts,1.0,Mild,crotch
sons-of-bitches,bitch,other / general insult,1.4,Mild,sons-of-bitches
dumbshit,shit,bodily fluids / excrement,1.6,Strong,dumbshit
wank,wank,sexual anatomy / sexual acts,1.0,Mild,wank
g0ddamn,damn,religious offense,1.2,Mild,g0ddamn
m0ngoloid,mongoloid,racial / ethnic slurs,2.2,Strong,m0ngoloid
douche,douche,sexual anatomy / sexual acts,1.0,Mild,douche
bum-bandits,bum,sexual orientation / gender,1.8,Strong,bum-bandits
mofucckers,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofucckers
b1tchez,bitch,sexual orientation / gender,1.2,Mild,b1tchez
nigers,nigger,racial / ethnic slurs,3.0,Severe,nigers
cocksuck,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuck
jap,jap,racial / ethnic slurs,2.8,Severe,jap
coon1es,coon,racial / ethnic slurs,3.0,Severe,coon1es
flamer,flamer,sexual orientation / gender,2.0,Strong,flamer
assmuncher,ass,sexual anatomy / sexual acts,2.2,Strong,assmuncher
knobeads,knob,sexual anatomy / sexual acts,1.4,Mild,knobeads
phukker,fuck,sexual anatomy / sexual acts,2.2,Strong,phukker
coons,coon,racial / ethnic slurs,2.8,Severe,coons
shitfreak,shit,bodily fluids / excrement,2.0,Strong,shitfreak
dick-head,dick,sexual anatomy / sexual acts,1.8,Strong,dick-head
0ral seks,sex,sexual anatomy / sexual acts,1.0,Mild,0ralseks
phukup,fuck,sexual anatomy / sexual acts,1.8,Strong,phukup
snatch,snatch,sexual anatomy / sexual acts,1.0,Mild,snatch
c0x,cock,sexual anatomy / sexual acts,1.4,Mild,c0x
dickless,dick,sexual anatomy / sexual acts,1.4,Mild,dickless
beeotch,bitch,sexual orientation / gender,1.0,Mild,beeotch
shiesterfucks,fuck,sexual anatomy / sexual acts,2.4,Strong,shiesterfucks
what the fuck,fuck,other / general insult,2.2,Strong,fuck
pedos,pedophile,other / general insult,2.4,Strong,pedos
mofucker,motherfucker,other / general insult,2.0,Strong,mofucker
shits,shit,bodily fluids / excrement,1.0,Mild,shits
tacohead,tacohead,racial / ethnic slurs,2.4,Strong,tacohead
@sshole,ass,sexual anatomy / sexual acts,1.6,Strong,@sshole
muthafecker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafecker
m0therfuckeds,motherfucker,sexual anatomy / sexual acts,2.8,Severe,m0therfuckeds
god-damned,damn,religious offense,1.4,Mild,god-damned
homo,homosexual,sexual orientation / gender,2.2,Strong,homo
man seed,man seed,bodily fluids / excrement,1.0,Mild,manseed
Mothafucc,motherfucker,sexual anatomy / sexual acts,2.8,Severe,Mothafucc
spanking,spank,sexual anatomy / sexual acts,1.0,Mild,spanking
fukking,fuck,sexual anatomy / sexual acts,2.0,Strong,fukking
jizz-jockey,jizz,bodily fluids / excrement,2.2,Strong,jizz-jockey
assfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,assfucker
cockgobbler,cock,sexual anatomy / sexual acts,1.8,Strong,cockgobbler
shiesterfuckhead,fuck,sexual anatomy / sexual acts,2.2,Strong,shiesterfuckhead
m@derfuckers,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m@derfuckers
tard,retard,mental disability,2.8,Severe,tard
c*nty,cunt,sexual anatomy / sexual acts,2.8,Severe,c*nty
stupidasses,ass,sexual anatomy / sexual acts,1.0,Mild,stupidasses
darkie,darky,racial / ethnic slurs,2.8,Severe,darkie
trashybitches,bitch,sexual orientation / gender,1.8,Strong,trashybitches
window licker,window licker,mental disability,1.8,Strong,windowlicker
bitchin',bitch,other / general insult,1.0,Mild,bitchin'
d1cks,dick,sexual anatomy / sexual acts,1.4,Mild,d1cks
shitfuckhead,fuck,other / general insult,2.6,Severe,shitfuckhead
wop,wop,racial / ethnic slurs,2.4,Strong,wop
motherfcking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfcking
shitfucker,fuck,sexual anatomy / sexual acts,2.4,Strong,shitfucker
cocksucking,cock,sexual anatomy / sexual acts,2.4,Strong,cocksucking
dicks,dick,sexual anatomy / sexual acts,1.0,Mild,dicks
goddamn son-of-a-bitch,damn,religious offense,1.4,Mild,goddamnson-of-a-bitch
ballbag,bollocks,sexual anatomy / sexual acts,1.0,Mild,ballbag
spook,spook,racial / ethnic slurs,3.0,Severe,spook
cuntasaurus rex,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntasaurusrex
basturd,bastard,bodily fluids / excrement,1.2,Mild,basturd
coonie,coon,racial / ethnic slurs,2.8,Severe,coonie
man chowder,man chowder,bodily fluids / excrement,1.0,Mild,manchowder
mecha fag,faggot,sexual orientation / gender,3.0,Severe,mechafag
mothafuccing,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuccing
spooks,spook,racial / ethnic slurs,2.6,Severe,spooks
shi+,shit,bodily fluids / excrement,1.0,Mild,shi+
sheeeet,shit,bodily fluids / excrement,1.0,Mild,sheeeet
fckking,fuck,sexual anatomy / sexual acts,2.2,Strong,fckking
skankz,skank,sexual orientation / gender,1.6,Strong,skankz
scut,scut,other / general insult,1.0,Mild,scut
knob3d,knob,sexual anatomy / sexual acts,1.6,Strong,knob3d
fuks,fuck,sexual anatomy / sexual acts,2.2,Strong,fuks
pigfucking,fuck,sexual anatomy / sexual acts,2.6,Severe,pigfucking
bastards,bastard,other / general insult,1.6,Strong,bastards
feg,faggot,sexual orientation / gender,2.4,Strong,feg
gowl,gowl,other / general insult,1.6,Strong,gowl
jackasss,ass,animal references,1.2,Mild,jackasss
dipshitty,shit,bodily fluids / excrement,1.8,Strong,dipshitty
c0ckhead,cock,sexual anatomy / sexual acts,2.0,Strong,c0ckhead
go fuck yourself,fuck,sexual anatomy / sexual acts,2.6,Severe,gofuck
wankbastard,wank,sexual anatomy / sexual acts,1.8,Strong,wankbastard
cock rider,cock,sexual anatomy / sexual acts,2.4,Strong,cockrider
harry palms,harry palms,sexual anatomy / sexual acts,1.6,Strong,harrypalms
motherf@kka,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherf@kka
fukk,fuck,sexual anatomy / sexual acts,2.0,Strong,fukk
nikker,nigger,racial / ethnic slurs,2.8,Severe,nikker
bitchy,bitch,sexual orientation / gender,1.2,Mild,bitchy
fuckwhore,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckwhore
nigg@zzes,nigger,racial / ethnic slurs,2.8,Severe,nigg@zzes
sumbitch,bitch,sexual orientation / gender,1.6,Strong,sumbitch
fook,fuck,sexual anatomy / sexual acts,1.6,Strong,fook
nymphomaniac,nymph,other / general insult,1.4,Mild,nymphomaniac
fck you,fuck,sexual anatomy / sexual acts,2.2,Strong,fck
cuntlicker,cunt,sexual anatomy / sexual acts,2.4,Strong,cuntlicker
cock head,cock,sexual anatomy / sexual acts,2.0,Strong,cockhead
cock tease,cock,sexual anatomy / sexual acts,1.8,Strong,cocktease
knob eater,knob,sexual anatomy / sexual acts,2.2,Strong,knobeater
fatasses,ass,sexual anatomy / sexual acts,1.2,Mild,fatasses
motherfuckings,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckings
twink,twink,sexual orientation / gender,1.2,Mild,twink
bollocktician,bollocks,sexual anatomy / sexual acts,1.4,Mild,bollocktician
shiesterfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,shiesterfuck
assfkcer,ass,sexual anatomy / sexual acts,2.6,Severe,assfkcer
faget,faggot,sexual orientation / gender,3.0,Severe,faget
faggot mothafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,faggotmothafuckers
mothafuckins,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckins
mother effer,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mothereffer
fcuking,fuck,sexual anatomy / sexual acts,2.2,Strong,fcuking
slag,slag,sexual orientation / gender,1.6,Strong,slag
knobends,knob,sexual anatomy / sexual acts,1.4,Mild,knobends
fukcs,fuck,sexual anatomy / sexual acts,2.0,Strong,fukcs
mongrel,mongrel,racial / ethnic slurs,2.6,Severe,mongrel
mfing,motherfucker,sexual anatomy / sexual acts,1.8,Strong,mfing
knobe,knob,sexual anatomy / sexual acts,1.0,Mild,knobe
packing fudge,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudge
mofuckkas,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofuckkas
fookuh,fuck,sexual anatomy / sexual acts,1.8,Strong,fookuh
f0ckers,fuck,sexual anatomy / sexual acts,2.2,Strong,f0ckers
b0llock,bollocks,sexual anatomy / sexual acts,1.0,Mild,b0llock
penisfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe,penisfuckers
bitchass,bitch,sexual orientation / gender,1.6,Strong,bitchass
pussy licking,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylicking
cumz,cum,bodily fluids / excrement,2.0,Strong,cumz
double dick,dick,sexual anatomy / sexual acts,1.6,Strong,doubledick
d!cks,dick,sexual anatomy / sexual acts,1.0,Mild,d!cks
god damnit,damn,religious offense,2.2,Strong,goddamnit
shitbag,shit,bodily fluids / excrement,2.0,Strong,shitbag
fuck off,fuck,sexual anatomy / sexual acts,2.0,Strong,fuck
chinky,chink,racial / ethnic slurs,3.0,Severe,chinky
negro,negro,racial / ethnic slurs,2.0,Strong,negro
gook,gook,racial / ethnic slurs,2.8,Severe,gook
r3t@rded,retarded,mental disability,2.8,Severe,r3t@rded
fuck your mother,fuck,sexual anatomy / sexual acts,2.8,Severe,fuckmother
l3itches,bitch,sexual orientation / gender,1.2,Mild,l3itches
beat your meat,meat,sexual anatomy / sexual acts,1.4,Mild,beatmeat
scumfuck,fuck,sexual anatomy / sexual acts,2.8,Severe,scumfuck
